step,oirf,stdoirf,irfname,response,impulse,ub95,ub68,lb95,lb68
10,.0039152679761711,.0057337875348229,var_largescale,rd,rd,.015153492,.0096203862,-.0073229554,-.0017898506
10,.003589865908876,.0016766115905029,var_largescale,tfp,rd,.0068760244,.0052580945,.0003037072,.0019216373
11,.0050272811132931,.0034468220922335,var_largescale,cons,rd,.011783052,.0084568691,-.0017284902,.0015976931
11,.0049715182716043,.0033363148971911,var_largescale,gdp,rd,.011510695,.0082911514,-.001567659,.001651885
11,.0009626517463254,.0007398740543256,var_largescale,infl,rd,.0024128049,.0016988264,-.00048750141,.00022647706
11,.007151828478626,.0053778895136736,var_largescale,invexrd,rd,.017692491,.012502829,-.0033888349,.0018008284
11,.0003502424827138,.0012757495658673,var_largescale,r,rd,.0028507116,.0016196133,-.0021502266,-.00091912836
11,.0023978248811653,.0055347525799522,var_largescale,rd,rd,.01324594,.007904904,-.0084502902,-.0031092539
11,.0032929876098058,.0016491168155749,var_largescale,tfp,rd,.0065252567,.0049338588,.000060718652,.0016521164
12,.0048808770263571,.0034585573406924,var_largescale,cons,rd,.011659649,.0083221411,-.0018978954,.0014396125
12,.0047060536139771,.0033267967815337,var_largescale,gdp,rd,.011226575,.0080162166,-.0018144681,.0013958908
12,.0010995254169751,.0007386630958384,var_largescale,infl,rd,.0025473051,.0018344952,-.00034825425,.00036455563
12,.0065766589276039,.0051072591051713,var_largescale,invexrd,rd,.016586887,.011658382,-.0034335689,.0014949361
12,.0006011210545315,.0012167465236783,var_largescale,r,rd,.0029859443,.0018117839,-.0017837022,-.00060954172
12,.0011660336282619,.0053499357944231,var_largescale,rd,rd,.011651908,.0064892196,-.0093198409,-.0041571525
12,.0029673359197396,.0016098629840359,var_largescale,tfp,rd,.0061226673,.0045691496,-.00018799552,.0013655223
13,.0046754993031419,.0034502351376113,var_largescale,cons,rd,.01143796,.0081084836,-.0020869616,.0012425154
13,.0044046639447728,.0032993178281186,var_largescale,gdp,rd,.010871327,.0076874853,-.0020619989,.0011218427
13,.0011778682636761,.0007320653633543,var_largescale,infl,rd,.0026127163,.0019062733,-.00025697984,.00044946323
13,.0059395281706604,.0048381545378611,var_largescale,invexrd,rd,.015422311,.010753492,-.0035432547,.0011255644
13,.0007971419934329,.0011722077042695,var_largescale,r,rd,.0030946692,.0019634888,-.0015003851,-.00036920467
13,.0001970825392119,.0051812532158034,var_largescale,rd,rd,.010352339,.0053524296,-.0099581741,-.0049582645
13,.0026286675209951,.0015641122478964,var_largescale,tfp,rd,.0056943274,.004184959,-.00043699247,.0010723758
14,.0044275832090675,.0034258879091974,var_largescale,cons,rd,.011142324,.0078363419,-.0022871571,.0010188248
14,.0040828199358235,.0032580906683592,var_largescale,gdp,rd,.010468678,.0073246202,-.0023030378,.00084101973
14,.0012044726970359,.0007177904308932,var_largescale,infl,rd,.0026113419,.0019186742,-.00020239655,.0004902712
14,.0052800111480289,.0045855470321206,var_largescale,invexrd,rd,.014267683,.0098426305,-.0037076611,.00071739184
14,.0009381654295451,.0011337207851661,var_largescale,r,rd,.0031602581,.0020662176,-.0012839274,-.00018988675
14,-.0005321051491843,.0050256647162967,var_largescale,rd,rd,.0093181981,.0044684312,-.010382408,-.0055326414
14,.0022901155729007,.0015164435641445,var_largescale,tfp,rd,.0052623451,.003798977,-.00068211381,.0007812542
15,.00415204309626,.0033895055408703,var_largescale,cons,rd,.010795474,.0075246012,-.0024913878,.0007794851
15,.0037536933378418,.0032072791047049,var_largescale,gdp,rd,.01003996,.0069449362,-.0025325736,.00056245062
15,.0011868906920777,.0006956197816076,var_largescale,infl,rd,.0025503056,.0018790324,-.00017652407,.00049474899
15,.0046291147394045,.0043613651273445,var_largescale,invexrd,rd,.01317739,.0089686727,-.0039191609,.00028955642
15,.001026823727021,.0010955513137085,var_largescale,r,rd,.0031741043,.0021168974,-.0011204568,-.000063249827
15,-.0010451384726991,.0048773782177586,var_largescale,rd,rd,.0085145226,.0038078527,-.0106048,-.0058981297
15,.0019623610265727,.0014704488952171,var_largescale,tfp,rd,.0048444411,.0034254577,-.00091971882,.0004992644
